1      Qatar                                                                                                
188    SaoTomeandPrincipe                              3,100                                            
189    Cameroon                                           3,000                                            
190    Djibouti                                           3,000                                            
191    Coted'Ivoire                                      2,900                                            
192    Lesotho                                            2,900                                            
193    Tajikistan                                         2,700                                            
194    Chad                                               2,600                                            
195    Vanuatu                                            2,500                                            
196    WesternSahara                                     2,500                                            
197    Nepal                                              2,400                                            
198    PapuaNewGuinea                                   2,400                                            
199    Senegal                                            2,300                                            
200    SierraLeone                                       2,100                                            
201    Afghanistan                                        2,000                                            
202    SouthSudan                                        2,000                                            
203    Zimbabwe                                           2,000                                            
204    Tanzania                                           1,900                                            
205    Benin                                              1,900                                            
206    SolomonIslands                                    1,800                                            
207    Haiti                                              1,800                                            
208    Korea,North                                       1,800                                            
209    Uganda                                             1,800                                            
210    Gambia,The                                        1,700                                            
211    Rwanda                                             1,700                                            
212    BurkinaFaso                                       1,700                                            
213    Comoros                                            1,700                                            
214    Kiribati                                           1,600                                            
215    Mali                                               1,600                                            
216    Togo                                               1,500                                            
217    Ethiopia                                           1,500                                            
218    Madagascar                                         1,400                                            
219    Guinea-Bissau                                      1,400                                            
220    Guinea                                             1,300                                            
221    Eritrea                                            1,200                                            
222    Mozambique                                         1,100                                            
223    Niger                                              1,000                                            
224    Tokelau                                            1,000                                            
225    Liberia                                            900                                              
226    Burundi                                            900                                              
227    Malawi                                             800                                              
228    Congo,DemocraticRepublicofthe                  700                                              
229    Somalia                                            600                                              
230    CentralAfricanRepublic                           600                                              
